NSTART,286
NDAYS,110
DELT,1
NFAST,24
INTOUT,7
TRGH,1
PLM2,3
ROWSPC,1
PLSTNI,6
LVSNI,5
WLVSI,0.5
LFARI,0.002
CO2LT(0),350
CO2LT(1),350
CO2LT(2),350
CO2LT(3),350
CO2LT(4),350
CO2LT(5),350
XCO2LT(0),0
XCO2LT(1),39
XCO2LT(2),40
XCO2LT(3),175
XCO2LT(4),176
XCO2LT(5),250
DISDAT(0),0
DISDAT(1),0
DISDAT(2),0
DISDAT(3),0
DISDAT(4),1
DISDAT(5),1
DISDAT(6),0
DISDAT(7),0
DISDAT(8),0
DISDAT(9),0
DISDAT(10),0
DISDAT(11),0
XDISDAT(0),0
XDISDAT(1),20
XDISDAT(2),40
XDISDAT(3),160
XDISDAT(4),161
XDISDAT(5),162
XDISDAT(6),164
XDISDAT(7),300
XDISDAT(8),301
XDISDAT(9),302
XDISDAT(10),303
XDISDAT(11),304